Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Rabbit Sh,Species_Species_Kitten
2025-10-12,91,53.0,0.0,0.13,2.25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.13,2.25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.13,5.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.1,2.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.1,2.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.1,12.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-10-12,91,53.0,0.0,0.1,5.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.1,12.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-10-12,91,53.0,0.0,0.1,2.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.07,65.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-12,91,53.0,0.0,0.07,48.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-12,91,53.0,0.0,0.07,13.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
